record_id,pmid,pmcid,doi,title,authors,journal,year,url,category,category_label,evidence_type,key_findings,physical_model_use,spatial_scale,model_readiness,publication_types,abstract
25877329,25877329,PMC4822336,10.1038/nrc3911,A RASopathy gene commonly mutated in cancer: the neurofibromatosis type 1 tumour suppressor.,Ratner N; Miller SJ,Nature reviews. Cancer,2015,https://pubmed.ncbi.nlm.nih.gov/25877329/,genetics_signaling,Genetics/signaling,review,NF1 is a tumor suppressor and RASopathy gene; neurofibromin loss dysregulates RAS/MAPK and other growth-control programs.,Defines the intracellular growth-state switch for NF1-deficient Schwann-lineage agents.,0.3,3.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review","Neurofibromatosis type 1 (NF1) is a common genetic disorder that predisposes affected individuals to tumours. The NF1 gene encodes a RAS GTPase-activating protein called neurofibromin and is one of several genes that (when mutant) affect RAS-MAPK signalling, causing related diseases collectively known as RASopathies. Several RASopathies, beyond NF1, are cancer predisposition syndromes. Somatic NF1 mutations also occur in 5-10% of human sporadic cancers and may contribute to resistance to therapy. To highlight areas for investigation in RASopathies and sporadic tumours with NF1 mutations, we summarize current knowledge of NF1 disease, the NF1 gene and neurofibromin, neurofibromin signalling pathways and recent developments in NF1 therapeutics."
26860753,26860753,,10.1016/j.semcdb.2016.02.007,Neurofibromatosis type 1: Fundamental insights into cell signalling and cancer.,Rad E; Tee AR,Seminars in cell & developmental biology,2016,https://pubmed.ncbi.nlm.nih.gov/26860753/,genetics_signaling,Genetics/signaling,review,Summarizes neurofibromin as a multifunctional tumor suppressor with RAS-GAP and non-RAS signaling roles.,Supports representing NF1 loss as a signaling-state change rather than only a proliferation constant.,0.3,2.8,"Journal Article; Research Support, Non-U.S. Gov't; Review","Neurofibromatosis type 1 (NF1) is an autosomal dominant tumour predisposition syndrome that is caused through loss of function mutations of a tumour suppressor gene called Neurofibromin 1. Therapeutic options are currently limited for NF1-associated tumours, where treatment is often restricted to complete surgical resection with clear margins. Herein, we discuss the multifunctional tumour suppressive role of neurofibromin, which is classically known as a GTPase activating protein (GAP) towards the RAS small GTPase. While neurofibromin inhibits proliferative growth through blockade of RAS-mediated signal transduction, neurofibromin should also be considered as a modulator of cell motility and cell adhesion. Through interfacing with the cytoskeleton and membrane structures, neurofibromin acts as a negative regulator of RHO/ROCK signalling pathways involved in cytoskeletal dynamics that are instrumental in proper neuronal development. In the context of cancer, the loss of normal function of neurofibromin via genetic mutation results in heightened cell proliferation and migration, predisposing NF1 patients to cancer. Malignant Peripheral Nerve Sheath Tumours (MPNSTs) can develop from benign neurofibromas and are the main cause of death amongst NF1 patients. Through recent research on MPNSTs, we have gained insight into the key molecular events that drive their malignancy. Advances regarding malignant drivers involved in cell migration, cell invasion and angiogenic signalling are discussed in this review, where these findings will likely influence future therapies for both NF1 and related sporadic cancers."
11988578,11988578,PMC3024710,10.1126/science.1068452,Neurofibromas in NF1: Schwann cell origin and role of tumor environment.,Zhu Y; Ghosh P; Charnay P; Burns DK; Parada LF,"Science (New York, N.Y.)",2002,https://pubmed.ncbi.nlm.nih.gov/11988578/,cell_origin,Cell of origin,mouse genetics,Classic evidence that neurofibroma initiation involves Schwann-cell NF1 loss and a permissive tumor environment.,Makes Schwann-lineage cells the initiating tumor cell class in a physical model.,1.0,4.0,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.","Neurofibromatosis type 1 (NF1) is one of the most prevalent dominantly inherited genetic diseases of the nervous system. NF1 encodes a tumor suppressor whose functional loss results in the development of benign neurofibromas that can progress to malignancy. Neurofibromas are complex tumors composed of axonal processes, Schwann cells, fibroblasts, perineurial cells, and mast cells. Through use of a conditional (cre/lox) allele, we show that loss of NF1 in the Schwann cell lineage is sufficient to generate tumors. In addition, complete NF1-mediated tumorigenicity requires both a loss of NF1 in cells destined to become neoplastic as well as heterozygosity in non-neoplastic cells. The requirement for a permissive haploinsufficient environment to allow tumorigenesis may have therapeutic implications for NF1 and other familial cancers."
18984156,18984156,PMC2788814,10.1016/j.cell.2008.08.041,Nf1-dependent tumors require a microenvironment containing Nf1+/-- and c-kit-dependent bone marrow.,Yang FC; Ingram DA; Chen S; Zhu Y; Yuan J; Li X; Yang X; Knowles S; et al.,Cell,2008,https://pubmed.ncbi.nlm.nih.gov/18984156/,microenvironment,Microenvironment,mouse genetics,Nf1-dependent tumors required an Nf1+/- and c-kit-dependent bone marrow/microenvironment component.,"Adds host stromal/hematopoietic recruitment as a required state variable, not a passive background.",2.3,4.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Interactions between tumorigenic cells and their surrounding microenvironment are critical for tumor progression yet remain incompletely understood. Germline mutations in the NF1 tumor suppressor gene cause neurofibromatosis type 1 (NF1), a common genetic disorder characterized by complex tumors called neurofibromas. Genetic studies indicate that biallelic loss of Nf1 is required in the tumorigenic cell of origin in the embryonic Schwann cell lineage. However, in the physiologic state, Schwann cell loss of heterozygosity is not sufficient for neurofibroma formation and Nf1 haploinsufficiency in at least one additional nonneoplastic lineage is required for tumor progression. Here, we establish that Nf1 heterozygosity of bone marrow-derived cells in the tumor microenvironment is sufficient to allow neurofibroma progression in the context of Schwann cell Nf1 deficiency. Further, genetic or pharmacologic attenuation of c-kit signaling in Nf1+/- hematopoietic cells diminishes neurofibroma initiation and progression. Finally, these studies implicate mast cells as critical mediators of tumor initiation."
19427294,19427294,PMC2737469,10.1016/j.stem.2009.03.017,Cell of origin and microenvironment contribution for NF1-associated dermal neurofibromas.,Le LQ; Shipman T; Burns DK; Parada LF,Cell stem cell,2009,https://pubmed.ncbi.nlm.nih.gov/19427294/,cell_origin,Cell of origin,mouse genetics,Dermal neurofibroma formation was linked to susceptible skin-derived precursor/Schwann-lineage populations and local microenvironment.,Separates cutaneous/dermal origin assumptions from plexiform origin assumptions.,1.5,4.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","The tumor predisposition disorder neurofibromatosis type I (NF1) is one of the most common genetic disorders of the nervous system. It is caused by mutations in the Nf1 tumor-suppressor gene, which encodes a GTPase-activating protein (GAP) that negatively regulates p21-RAS. Development of malignant nerve tumors and neurofibromas occurs frequently in NF1. However, little is known about the molecular mechanisms mediating the initiation and progression of these complex tumors, or the identity of the specific cell type that gives rise to dermal or cutaneous neurofibromas. In this study, we identify a population of stem/progenitor cells residing in the dermis termed skin-derived precursors (SKPs) that, through loss of Nf1, form neurofibromas. We propose that SKPs, or their derivatives, are the cell of origin of dermal neurofibroma. We also provide evidence that additional signals from nonneoplastic cells in the tumor microenvironment play essential roles in neurofibromagenesis."
21551250,21551250,PMC3145496,10.1158/0008-5472.CAN-10-4577,Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development.,Le LQ; Liu C; Shipman T; Chen Z; Suter U; Parada LF,Cancer research,2011,https://pubmed.ncbi.nlm.nih.gov/21551250/,cell_origin,Cell of origin,mouse genetics,Defined developmental windows in Schwann cells that are susceptible for plexiform neurofibroma development.,Motivates an age/development-dependent initiation probability for plexiform tumors.,1.5,4.2,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Stem cells are under strict regulation by both intrinsic factors and the microenvironment. There is increasing evidence that many cancers initiate through acquisition of genetic mutations (loss of intrinsic control) in stem cells or their progenitors, followed by alterations of the surrounding microenvironment (loss of extrinsic control). In neurofibromatosis type 1 (NF1), deregulation of Ras signaling results in development of multiple neurofibromas, complex tumors of the peripheral nerves. Neurofibromas arise from the Schwann cell lineage following loss of function at the NF1 locus, which initiates a cascade of interactions with other cell types in the microenvironment and additional cell autonomous modifications. In this study, we sought to identify whether a temporal ""window of opportunity"" exists during which cells of the Schwann cell lineage can give rise to neurofibromas following loss of NF1. We showed that acute loss of NF1 in both embryonic and adult Schwann cells can lead to neurofibroma formation. However, the embryonic period when Schwann cell precursors and immature Schwann cells are most abundant coincides with enhanced susceptibility to plexiform neurofibroma tumorigenesis. This model has important implications for understanding early cellular events that dictate neurofibroma development, as well as for the development of novel therapies targeting these tumors."
25446898,25446898,PMC4254535,10.1016/j.ccell.2014.09.009,Cells of origin in the embryonic nerve roots for NF1-associated plexiform neurofibroma.,Chen Z; Liu C; Patel AJ; Liao CP; Wang Y; Le LQ,Cancer cell,2014,https://pubmed.ncbi.nlm.nih.gov/25446898/,cell_origin,Cell of origin,mouse genetics,Identified embryonic nerve-root Schwann-lineage cells as cells of origin for NF1-associated plexiform neurofibroma.,Places plexiform tumor seeds on embryonic nerve-root/peripheral nerve topology.,1.7,4.4,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Neurofibromatosis type 1 is a tumor-predisposing genetic disorder. Plexiform neurofibromas are common NF1 tumors carrying a risk of malignant transformation, which is typically fatal. Little is known about mechanisms mediating initiation and identity of specific cell type that gives rise to neurofibromas. Using cell-lineage tracing, we identify a population of GAP43(+) PLP(+) precursors in embryonic nerve roots as the cells of origin for these tumors and report a non-germline neurofibroma model for preclinical drug screening to identify effective therapies. The identity of the tumor cell of origin and facility for isolation and expansion provides fertile ground for continued analysis to define factors critical for neurofibromagenesis. It also provides unique approaches to develop therapies to prevent neurofibroma formation in NF1 patients."
30348677,30348677,PMC6328325,10.1158/2159-8290.CD-18-0151,Spatiotemporal Loss of NF1 in Schwann Cell Lineage Leads to Different Types of Cutaneous Neurofibroma Susceptible to Modification by the Hippo Pathway.,Chen Z; Mo J; Brosseau JP; Shipman T; Wang Y; Liao CP; Cooper JM; Allaway RJ; et al.,Cancer discovery,2018,https://pubmed.ncbi.nlm.nih.gov/30348677/,cell_origin,Cell of origin,mouse genetics and transcriptomics,Spatiotemporal NF1 loss in Schwann-lineage cells generated different cutaneous neurofibroma types and implicated Hippo/YAP modification.,"Links tumor subtype to timing, location, and mechanotransduction-sensitive signaling.",1.8,4.0,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Neurofibromatosis type 1 (NF1) is a cancer predisposition disorder that results from inactivation of the tumor suppressor neurofibromin, a negative regulator of RAS signaling. Patients with NF1 present with a wide range of clinical manifestations, and the tumor with highest prevalence is cutaneous neurofibroma (cNF). Most patients harboring cNF suffer greatly from the burden of those tumors, which have no effective medical treatment. Ironically, none of the numerous NF1 mouse models developed so far recapitulate cNF. Here, we discovered that HOXB7 serves as a lineage marker to trace the developmental origin of cNF neoplastic cells. Ablating Nf1 in the HOXB7 lineage faithfully recapitulates both human cutaneous and plexiform neurofibroma. In addition, we discovered that modulation of the Hippo pathway acts as a ""modifier"" for neurofibroma tumorigenesis. This mouse model opens the doors for deciphering the evolution of cNF to identify effective therapies, where none exist today. SIGNIFICANCE: This study provides insights into the developmental origin of cNF, the most common tumor in NF1, and generates the first mouse model that faithfully recapitulates both human cutaneous and plexiform neurofibroma. The study also demonstrates that the Hippo pathway can modify neurofibromagenesis, suggesting that dampening the Hippo pathway could be an attractive therapeutic target.This article is highlighted in the In This Issue feature, p. 1."
32642729,32642729,PMC7317055,10.1093/noajnl/vdz044,New insights into the neurofibroma tumor cells of origin.,Li S; Chen Z; Le LQ,Neuro-oncology advances,2019,https://pubmed.ncbi.nlm.nih.gov/32642729/,cell_origin,Cell of origin,review,Reviews evolving evidence for neurofibroma tumor cells of origin across dermal/cutaneous and plexiform subtypes.,Useful guardrail for choosing the correct initiating-cell assumptions by subtype.,1.4,3.5,Journal Article; Review,"Neurofibromatosis type I (NF1) is a debilitating inherited tumor syndrome affecting around 1 in 3000 people. Patients present with a variety of tumors caused by biallelic loss of the tumor suppressor neurofibromin (NF1), a negative regulator of Ras signaling. While the mechanism of tumor formation is similar in the majority of NF1 cases, the clinical spectrum of tumors can vary depending on spatiotemporal loss of heterozygosity of NF1 in cells derived from the neural crest during development. The hallmark lesions that give NF1 its namesake are neurofibromas, which are benign Schwann cell tumors composed of nervous and fibrous tissue. Neurofibromas can be found in the skin (cutaneous neurofibroma) or deeper in body near nerve plexuses (plexiform neurofibroma). While neurofibromas have been known to be Schwann cell tumors for many years, the exact timing and initiating cell has remained elusive. This has led to difficulties in developing animal models and successful therapies for NF1. A culmination of recent genetic studies has finally begun to shed light on the detailed cellular origins of neurofibromatosis. In this review, we will examine the hunt for neurofibroma tumor cells of origin through a historical lens, detailing the genetic systems used to delineate the source of plexiform and cutaneous neurofibromas. Through these novel findings, we can better understand the cellular, temporal, and developmental context during tumor initiation. By leveraging this data, we hope to uncover new therapeutic targets and mechanisms to treat NF1 patients."
36139671,36139671,PMC9497298,10.3390/cancers14184513,Neurofibroma Development in Neurofibromatosis Type 1: Insights from Cellular Origin and Schwann Cell Lineage Development.,Ge LL; Xing MY; Zhang HB; Wang ZC,Cancers,2022,https://pubmed.ncbi.nlm.nih.gov/36139671/,cell_origin,Cell of origin,review,Synthesizes cellular-origin evidence through Schwann-cell lineage development for NF1 neurofibromas.,Maps lineage state to initiation and phenotype in a multi-state growth model.,1.4,3.5,Journal Article; Review,"BACKGROUND: Neurofibromatosis type 1 (NF1), a genetic tumor predisposition syndrome that affects about 1 in 3000 newborns, is caused by mutations in the NF1 gene and subsequent inactivation of its encoded neurofibromin. Neurofibromin is a tumor suppressor protein involved in the downregulation of Ras signaling. Despite a diverse clinical spectrum, one of several hallmarks of NF1 is a peripheral nerve sheath tumor (PNST), which comprises mixed nervous and fibrous components. The distinct spatiotemporal characteristics of plexiform and cutaneous neurofibromas have prompted hypotheses about the origin and developmental features of these tumors, involving various cellular transition processes. METHODS: We retrieved published literature from PubMed, EMBASE, and Web of Science up to 21 June 2022 and searched references cited in the selected studies to identify other relevant papers. Original articles reporting the pathogenesis of PNSTs during development were included in this review. We highlighted the Schwann cell (SC) lineage shift to better present the evolution of its corresponding cellular origin hypothesis and its important effects on the progression and malignant transformation of neurofibromas. CONCLUSIONS: In this review, we summarized the vast array of evidence obtained on the full range of neurofibroma development based on cellular and molecular pathogenesis. By integrating findings relating to tumor formation, growth, and malignancy, we hope to reveal the role of SC lineage shift as well as the combined impact of additional determinants in the natural history of PNSTs."
